Year	mil0021	mil0025	mil0026
1200	282.16437	282.74176	281.31363
1201	281.02505	282.02762	282.64462
1202	282.22952	282.31522	282.4187
1203	282.13559	282.05927	281.94061
1204	281.77426	282.3093	283.0239
1205	282.2374	282.42523	282.29205
1206	282.67444	282.44159	281.55228
1207	282.04169	282.64703	281.28189
1208	281.73422	282.7518	281.96454
1209	281.86127	282.29218	282.37299
1210	282.15164	281.61978	281.90845
1211	281.30548	281.69742	282.67624
1212	280.79874	282.30923	283.72702
1213	281.69687	282.64328	283.9574
1214	281.86578	281.97415	282.61057
1215	281.36954	281.22845	282.62476
1216	281.98611	282.21619	284.23538
1217	282.08466	283.10098	283.44321
1218	281.53741	282.31516	282.12885
1219	282.12656	282.53595	281.71152
1220	281.85721	283.29941	282.9408
1221	280.39297	282.58014	283.34219
1222	281.48376	282.17908	282.21274
1223	281.97433	282.23773	282.50143
1224	280.50604	281.7355	283.21805
1225	281.7771	282.56558	282.29068
1226	282.35452	282.9425	282.05539
1227	281.25439	282.14078	283.69296
1228	281.84433	282.89041	282.75842
1229	281.96603	282.69867	281.11896
1230	279.88385	280.99265	281.2511
1231	278.79767	280.29495	281.57788
1232	280.1889	281.28464	280.56912
1233	280.7789	281.23801	281.28708
1234	280.17368	280.43625	281.45065
1235	281.06427	281.49713	281.0712
1236	281.41678	281.17877	281.28757
1237	280.9758	280.24362	281.49643
1238	281.19711	280.89008	282.27078
1239	281.27417	281.58353	282.17044
1240	281.26047	280.6358	280.95422
1241	281.97186	281.4957	281.47961
1242	281.96487	282.04559	282.56802
1243	280.49005	281.20969	282.07217
1244	281.24905	281.56213	281.54062
1245	281.50244	281.65985	283.17709
1246	281.01523	280.9039	282.01392
1247	281.26587	281.73837	280.73532
1248	281.10574	282.44489	281.68298
1249	280.1398	282.46991	281.80399
1250	280.3197	283.10526	280.42163
1251	281.33328	282.32819	280.28036
1252	280.88156	281.06235	281.1142
1253	280.53809	282.2464	280.65628
1254	281.00079	282.18457	281.26279
1255	280.51187	280.72131	281.74881
1256	280.40982	281.57413	280.83487
1257	281.05731	282.79953	281.10196
1258	280.83252	281.88394	280.28043
1259	278.65952	280.27469	279.86603
1260	278.15207	280.77307	280.14679
1261	278.29736	280.60532	280.08887
1262	277.83502	279.06943	279.09402
1263	278.47949	279.95779	278.89023
1264	277.76114	280.29117	280.03177
1265	277.92834	279.814	279.36307
1266	278.86624	280.29816	278.54791
1267	279.22668	280.21509	279.7529
1268	278.64511	280.11011	280.38403
1269	278.73245	282.18311	279.23615
1270	279.9332	281.94034	279.80844
1271	279.69556	279.90756	280.40262
1272	278.63211	279.97162	278.68588
1273	279.24097	280.69186	278.4285
1274	279.34058	280.25262	279.88629
1275	278.23264	280.61163	279.39539
1276	278.66537	281.15424	277.98068
1277	280.63156	280.16721	278.24063
1278	280.0347	280.12607	279.49078
1279	278.65799	281.16931	279.27533
1280	280.06711	280.91025	279.33475
1281	280.31482	280.04343	279.0957
1282	279.32462	279.89438	278.77859
1283	280.82816	281.31424	279.25186
1284	280.30762	281.13995	279.52808
1285	279.22064	279.45746	279.23035
1286	280.39139	278.87677	277.9007
1287	280.07675	279.91415	278.94986
1288	278.96149	279.53323	279.55774
1289	278.34015	278.77087	278.58221
1290	277.40262	278.77899	277.73584
1291	278.27921	279.19327	278.54617
1292	279.63766	279.73007	278.49133
1293	279.51456	279.54919	279.33978
1294	279.58212	279.83994	280.00345
1295	279.53424	280.16248	278.95316
1296	279.15414	279.38214	278.38629
1297	278.94815	279.02078	278.99234
1298	279.03079	279.30807	277.92932
1299	279.77975	279.13068	277.56241
1300	278.80527	280.09543	279.07883
1301	278.37509	280.26102	278.98795
1302	278.79303	279.4263	277.89188
1303	279.64282	279.87247	277.83932
1304	278.60202	279.68912	278.3717
1305	278.33075	279.25351	279.1351
1306	279.41647	278.68423	279.34909
1307	279.41983	279.14099	278.76584
1308	278.13818	280.90939	278.75308
1309	278.37506	280.397	279.76117
1310	280.24503	279.38492	279.00992
1311	279.91055	279.82776	277.78967
1312	278.94028	279.99835	278.46817
1313	279.36996	278.99112	279.91003
1314	280.15189	280.65311	279.54288
1315	280.02374	281.21326	279.20322
1316	279.6785	280.28531	278.99741
1317	279.81699	279.29846	279.61047
1318	279.94482	280.20108	279.25745
1319	280.74109	281.02249	278.5611
1320	280.26434	279.75793	278.88336
1321	279.54718	279.70956	279.35654
1322	279.58203	281.09653	279.37708
1323	280.15115	280.41916	279.11557
1324	280.16129	278.84561	279.14835
1325	280.29959	279.78293	279.18167
1326	280.52127	280.70084	278.98563
1327	279.49442	280.77182	278.20981
1328	279.23007	280.61044	278.30899
1329	280.00897	280.36935	278.31348
1330	280.45157	280.3063	278.31839
1331	278.94556	281.07016	279.7132
1332	278.7211	281.16568	279.66977
1333	279.50018	279.40677	278.5325
1334	279.48389	279.84671	280.19284
1335	278.90292	280.46198	280.1416
1336	279.40714	279.31894	278.51285
1337	280.06534	279.56015	277.7084
1338	279.11282	279.93069	278.80319
1339	279.69708	279.19766	278.76834
1340	281.62775	279.25491	278.54449
1341	280.61975	279.60565	278.89105
1342	278.87366	279.88666	278.32626
1343	279.65115	279.41321	277.59207
1344	280.23822	278.0524	278.19943
1345	279.77151	278.39954	278.93735
1346	280.01031	279.33316	279.41855
1347	280.31177	279.83212	280.95752
1348	279.22836	278.95361	280.36432
1349	279.75037	278.61081	278.82715
1350	280.39383	279.53217	279.42038
1351	279.66437	279.77249	280.19363
1352	280.98514	279.37909	280.28079
1353	280.66803	280.84576	280.10715
1354	279.43466	280.88565	279.70483
1355	279.7345	279.66589	279.05139
1356	280.30301	280.42566	279.27911
1357	280.04266	280.41843	280.32333
1358	281.08588	279.32782	280.29831
1359	281.45004	279.52231	279.32077
1360	280.38583	280.5242	280.06931
1361	281.02478	280.50235	280.36191
1362	281.42337	279.68323	278.2865
1363	282.0321	280.64847	279.1254
1364	281.09079	280.96518	279.55988
1365	280.81918	280.13422	278.60376
1366	280.92508	280.0466	278.84644
1367	280.74527	281.64838	280.08231
1368	281.55466	281.43997	279.48505
1369	281.59335	279.73172	278.65488
1370	280.05679	279.73087	279.95514
1371	279.78781	280.561	280.21283
1372	280.05646	278.99359	278.5408
1373	279.75778	279.5155	278.91788
1374	280.94241	280.34515	280.80432
1375	280.40891	279.81161	279.87076
1376	279.41483	280.45175	278.91599
1377	279.3895	281.04721	280.27869
1378	280.26694	279.70923	280.75946
1379	279.82535	279.98962	279.99539
1380	279.65353	281.13654	280.72318
1381	280.06592	280.82297	280.94876
1382	280.45816	280.04321	280.06619
1383	280.44418	280.90189	280.3573
1384	280.36008	281.11655	281.1492
1385	280.7067	279.93289	281.15402
1386	280.89438	279.647	280.46469
1387	281.10349	281.67694	281.64194
1388	280.97232	281.10864	280.89456
1389	279.99002	279.58316	279.9953
1390	279.98715	280.01105	279.70322
1391	280.4299	281.8898	280.33279
1392	278.89346	280.83795	280.36624
1393	278.27884	279.95386	280.76038
1394	279.4895	280.89774	281.09659
1395	280.07382	281.6658	280.45575
1396	280.13913	280.61835	278.81747
1397	279.7858	281.35226	279.00677
1398	279.60056	282.1478	279.58835
1399	279.53214	281.46545	280.08725
1400	279.94937	280.88803	280.54495
1401	280.75589	281.14325	280.4866
1402	280.27017	280.6665	279.85904
1403	280.04874	280.30307	280.28708
1404	280.82004	280.62659	280.64749
1405	280.79196	281.21823	279.97934
1406	279.37924	280.73035	280.642
1407	279.42606	280.73941	281.10461
1408	280.14658	281.4964	280.79129
1409	280.76328	280.73929	279.54144
1410	281.00916	279.80875	279.3858
1411	280.22617	281.03293	280.38705
1412	279.40588	280.88184	280.1478
1413	280.52432	278.76364	279.23218
1414	280.74057	279.6044	280.50479
1415	280.26724	280.13718	280.38675
1416	281.10944	278.6973	280.73141
1417	279.952	279.34769	280.90585
1418	279.05533	281.41586	281.0874
1419	279.26096	280.50195	280.15405
1420	280.03989	279.48566	279.82413
1421	280.13571	281.05392	279.97079
1422	281.42691	280.52481	279.07245
1423	280.69577	279.19608	279.09152
1424	279.1384	279.35074	279.50589
1425	279.03622	280.20343	278.43277
1426	279.61792	280.18246	278.15128
1427	278.73087	280.58987	279.55655
1428	279.48361	281.18332	280.16971
1429	279.79782	280.52661	278.73691
1430	278.80215	280.49081	279.23682
1431	279.28867	281.23645	279.81943
1432	279.54965	280.83762	279.3501
1433	278.78989	279.87915	279.63297
1434	278.93454	279.76434	279.52432
1435	279.76242	279.82236	279.81857
1436	280.46295	280.15878	280.12729
1437	279.59299	279.61923	280.16492
1438	278.83249	279.7442	279.84418
1439	279.58884	281.25266	279.19376
1440	280.3576	280.94949	279.03061
1441	280.34586	279.93942	279.71634
1442	280.32706	279.20529	279.21024
1443	280.41336	280.24515	278.26486
1444	279.64743	279.54776	279.62863
1445	279.94833	278.3447	279.76846
1446	279.51672	278.83066	277.93173
1447	278.61142	279.58459	277.4317
1448	279.21545	278.76328	278.95865
1449	278.95117	279.01297	278.72055
1450	278.27347	279.28445	277.87524
1451	278.58344	278.72806	278.21848
1452	279.75885	279.33615	278.82059
1453	279.82944	279.18335	277.84485
1454	279.83572	278.39694	277.94699
1455	279.8313	278.80966	279.05145
1456	278.50101	278.95187	278.60458
1457	277.37436	276.83008	277.90805
1458	277.42432	275.87198	277.63733
1459	276.73608	276.29666	276.18054
1460	276.47018	275.47635	275.73215
1461	276.82855	276.05179	276.478
1462	277.8461	277.01605	277.47092
1463	277.51944	276.81439	276.95346
1464	276.89584	276.74286	277.19455
1465	277.40845	277.35278	278.54578
1466	278.19775	277.7301	277.9632
1467	278.07999	276.87936	277.10489
1468	276.8877	277.66071	277.42557
1469	277.48349	278.23859	277.1235
1470	278.23495	277.61295	276.03177
1471	276.74594	277.45227	276.44986
1472	277.11221	278.75394	277.3602
1473	278.90308	278.34549	277.21286
1474	278.29654	276.8259	277.07602
1475	277.58743	277.46066	278.07944
1476	278.61395	278.02133	277.80374
1477	279.1163	276.65735	277.05392
1478	277.67996	277.81033	277.29443
1479	277.31357	278.35864	277.06909
1480	278.10477	277.43478	277.24362
1481	278.1113	276.97208	277.87726
1482	277.55038	277.38467	278.77841
1483	278.80435	277.82797	279.17352
1484	278.82272	277.01978	278.78143
1485	277.73529	277.05844	277.65909
1486	278.99893	277.97821	278.2388
1487	278.98993	277.89908	278.9024
1488	278.25204	276.69003	277.58011
1489	278.98764	276.3894	277.01996
1490	279.40018	277.81506	278.20508
1491	279.04327	278.02008	279.27792
1492	279.64462	276.82718	278.43484
1493	279.80954	277.64877	277.98306
