year,tmean,dd_sum,growing_weeks,annual_growth_m_per_yr,tth_years,vulnerable_year
2091,1.3625831168831162,985.4670999999993,19,0.2137275997105613,7.018279351994603,False
2092,4.150304986522911,1458.9882999999998,25,0.3164246349419402,4.740465293655883,False
2093,3.90895769230769,1190.4781999999993,22,0.25819030203418214,5.809668249279994,False
2094,2.2168972527472537,1065.3166000000003,21,0.23104531835696632,6.492232825434236,False
2095,3.4569086253369226,1292.7127999999982,25,0.2803628896988227,5.350208801212462,False
2096,3.6523935930735916,1281.9374999999995,22,0.2780259481559128,5.395179874213835,False
2097,3.8567347708894895,1291.7269000000006,23,0.2801490682119825,5.354292304356279,False
2098,2.1784762803234523,1226.3474,21,0.26596959575138307,5.639742376426121,False
2099,3.2222101648351678,1237.1398000000015,23,0.2683102459335318,5.590543122127335,False
2100,3.1546225274725264,1362.5819000000004,22,0.2955160643070239,5.075866191969814,False
